Lazada,Lazada Price,Shopee,Shopee Price,Cosine Similarity,Price Difference
20Pieces/Box Disposable Portable Mini Soapy Paper Washing Hand Bath Clean Travel Health Antibacterial Soap,18.0,20Pieces/Box Disposable Portable Mini Soapy Paper Washing Hand Bath Clean Travel Health Antibacterial Soap,34.0,0.9999999999999998,-16.0
Flip Soap Dish Creative Drainage Punching Free Toilet with Lid Home Bathroom Soap Box Laundry Soap Box Soap Holder,315.0,COD 100g Sea Salt Soap Natural Goat Milk in Addition to Mites Soap Acne Soap Cleansing Oil Control Soap Washing Face Bath Horse Oil,49.0,0.4518259957799241,266.0
"
Happy Bath Sun han 900g",250.0,"Happy Bath Body Wash 900g (Sun Han, Chuk chuk, Grapefruit, May Rose and Lavender)",250.0,0.5590169943749475,0.0
1pcs Shower cup bath shower reusable clear plastic hair cover,18.0,1pcs Shower cup bath shower reusable clear plastic hair cover,18.0,1.0000000000000002,0.0
6pcs Bath Bombs Bubbles Bath Salts Ball Essential Oil Handmade SPA Stress Relief Exfoliating Mint Lavender Rose Flavor,301.9,"5PCS Bath Ball, Handmade Bubble Bath Bomb Rich in Essential Oil, Baking Soda, Citric acid, Cellulose, Stress Relief Moisturizing SPA Shower",119.0,0.5128776445321727,182.89999999999998
Original BATH - BODY WORKS Aromatherapy Body Wash with Essential Oil 295mL,876.0,Original BATH & BODY WORKS Aromatherapy Body Wash with Essential Oil 295mL,520.0,0.9999999999999998,356.0
【SK】20 grams White Round Bath Soap (20 pcs 25 pcs 50 pcs),230.0,"【SK】20 grams White Round Bath Soap (20 pcs, 25 pcs ,50 pcs)",78.0,1.0000000000000002,152.0
DermaVeen Shower & Bath Oil 1 Litre,1200.0,DermaVeen Shower & Bath Oil 1 Litre,1100.0,0.9999999999999999,100.0
Showermate Goat Milk Moisturizing & Whitening Body Wash 550ml,281.06,PUREYES Foaming Whitening Shower Body Wash,180.0,0.4330127018922194,101.06
"Vicks VapoBath, Bath Crystals, Bath Bomb, Non-Medicated Bath Salts, Soothing Vicks Vapors Steam Aromatherapy with Eucalyptus and Menthol, 15 OZ Bath Salts 1 pc | Imported from USA(",1599.0,Bath Bomb Gift Set w/ Bubble Bath,460.0,0.48524747941547286,1139.0
Milea All Organics Guava Healing Bath Soap,105.0,Milea All Organics Guava Healing Bath Soap,40.0,0.9999999999999997,65.0
